id	day	nominal	time	sum
94	2014-01-06	1 сом	11:45:47	1
95	2014-01-06	1 сом	3:53:59	1
96	2014-01-06	1 сом	1:42:04	1
97	2014-01-06	1 сом	8:38:07	1
98	2014-01-06	1 сом	21:01:13	1
99	2014-01-06	1 сом	15:28:31	1
100	2014-01-06	1 сом	11:15:51	1
101	2014-01-06	1 сом	2:05:04	1
102	2014-01-06	1 сом	7:39:31	1
103	2014-01-06	1 сом	8:14:54	1
104	2014-01-06	1 сом	16:02:38	1
105	2014-01-06	1 сом	0:32:08	1
106	2014-01-06	1 сом	15:31:17	1
107	2014-01-06	1 сом	4:45:09	1
108	2014-01-06	1 сом	12:36:50	1
109	2014-01-06	1 сом	18:05:34	1
110	2014-01-06	1 сом	0:12:24	1
111	2014-01-06	1 сом	11:15:09	1
112	2014-01-06	1 сом	3:09:44	1
113	2014-01-06	1 сом	14:10:36	1
114	2014-01-06	1 сом	13:10:19	1
115	2014-01-06	1 сом	17:01:42	1
116	2014-01-06	1 сом	2:45:10	1
117	2014-01-06	1 сом	6:59:44	1
118	2014-01-06	1 сом	5:42:12	1
119	2014-01-06	1 сом	21:46:03	1
120	2014-01-06	1 сом	15:31:13	1
121	2014-01-06	1 сом	0:34:09	1
122	2014-01-06	1 сом	23:32:19	1
123	2014-01-06	1 сом	11:23:42	1
124	2014-01-06	1 сом	17:29:54	1
125	2014-01-06	1 сом	14:58:35	1
126	2014-01-06	1 сом	2:50:56	1
127	2014-01-06	1 сом	8:53:01	1
128	2014-01-06	1 сом	4:41:49	1
129	2014-01-06	1 сом	9:55:25	1
130	2014-01-06	1 сом	20:17:34	1
131	2014-01-06	1 сом	18:33:55	1
132	2014-01-06	1 сом	20:23:07	1
133	2014-01-06	1 сом	2:48:20	1
134	2014-01-06	1 сом	3:58:29	1
135	2014-01-06	1 сом	6:16:47	1
136	2014-01-06	1 сом	22:31:19	1
137	2014-01-06	1 сом	18:24:28	1
138	2014-01-06	1 сом	21:11:43	1
139	2014-01-06	1 сом	6:26:04	1
140	2014-01-06	1 сом	17:32:12	1
141	2014-01-06	1 сом	9:04:45	1
142	2014-01-06	1 сом	13:37:46	1
143	2014-01-06	1 сом	22:48:26	1
144	2014-01-06	1 сом	9:17:28	1
145	2014-01-06	1 сом	8:55:05	1
146	2014-01-06	1 сом	13:30:41	1
147	2014-01-06	1 сом	4:55:08	1
148	2014-01-06	1 сом	5:03:06	1
149	2014-01-06	1 сом	12:25:19	1
150	2014-01-06	1 сом	6:08:48	1
151	2014-01-06	1 сом	3:23:10	1
152	2014-01-06	1 сом	4:59:32	1
153	2014-01-06	1 сом	12:28:52	1
154	2014-01-06	1 сом	9:41:52	1
155	2014-01-06	1 сом	4:53:42	1
156	2014-01-06	1 сом	3:53:15	1
157	2014-01-06	1 сом	2:54:57	1
158	2014-01-06	1 сом	17:09:01	1
159	2014-01-06	1 сом	11:00:07	1
160	2014-01-06	1 сом	22:15:33	1
161	2014-01-06	1 сом	12:15:15	1
162	2014-01-06	1 сом	3:02:15	1
163	2014-01-06	1 сом	0:01:24	1
164	2014-01-06	1 сом	19:20:14	1
165	2014-01-06	1 сом	10:54:35	1
166	2014-01-06	1 сом	10:30:26	1
167	2014-01-06	1 сом	8:26:54	1
168	2014-01-06	1 сом	23:45:51	1
169	2014-01-06	1 сом	7:15:39	1
170	2014-01-06	1 сом	22:41:31	1
171	2014-01-06	1 сом	8:12:10	1
172	2014-01-06	1 сом	12:27:28	1
173	2014-01-06	1 сом	1:44:27	1
174	2014-01-06	1 сом	1:13:42	1
175	2014-01-06	1 сом	17:01:42	1
176	2014-01-06	1 сом	3:22:15	1
177	2014-01-06	1 сом	18:06:40	1
178	2014-01-06	1 сом	19:48:35	1
179	2014-01-06	1 сом	22:15:28	1
180	2014-01-06	1 сом	22:27:43	1
181	2014-01-06	1 сом	1:24:15	1
182	2014-01-06	1 сом	11:51:57	1
183	2014-01-07	1 сом	17:49:55	1
184	2014-01-07	1 сом	18:17:50	1
185	2014-01-07	1 сом	13:50:02	1
186	2014-01-07	1 сом	10:43:59	1
187	2014-01-07	1 сом	10:17:15	1
188	2014-01-07	1 сом	9:01:55	1
189	2014-01-07	1 сом	13:53:31	1
190	2014-01-07	1 сом	12:04:49	1
191	2014-01-07	1 сом	16:42:09	1
192	2014-01-07	1 сом	1:25:13	1
193	2014-01-07	1 сом	18:04:15	1
194	2014-01-07	1 сом	6:05:27	1
195	2014-01-07	1 сом	7:56:52	1
196	2014-01-07	1 сом	12:47:30	1
197	2014-01-07	1 сом	6:53:57	1
198	2014-01-07	1 сом	19:40:26	1
199	2014-01-07	1 сом	10:40:32	1
200	2014-01-07	1 сом	14:58:58	1
201	2014-01-07	1 сом	15:50:19	1
202	2014-01-07	1 сом	19:51:05	1
203	2014-01-07	1 сом	10:01:55	1
204	2014-01-07	1 сом	6:46:37	1
205	2014-01-07	1 сом	12:33:56	1
206	2014-01-07	1 сом	8:40:39	1
207	2014-01-07	1 сом	4:13:53	1
208	2014-01-07	1 сом	6:40:23	1
209	2014-01-07	1 сом	13:51:57	1
210	2014-01-07	1 сом	12:35:51	1
211	2014-01-07	1 сом	11:16:46	1
212	2014-01-07	1 сом	13:26:07	1
213	2014-01-07	1 сом	18:38:41	1
214	2014-01-07	1 сом	0:24:59	1
215	2014-01-07	1 сом	12:09:42	1
216	2014-01-07	1 сом	3:26:21	1
217	2014-01-07	1 сом	23:34:54	1
218	2014-01-07	1 сом	8:15:49	1
219	2014-01-07	1 сом	21:14:10	1
220	2014-01-07	1 сом	3:00:46	1
221	2014-01-07	1 сом	10:35:06	1
222	2014-01-07	1 сом	3:13:16	1
223	2014-01-07	1 сом	10:22:37	1
224	2014-01-07	1 сом	15:10:52	1
225	2014-01-07	1 сом	2:31:23	1
226	2014-01-07	1 сом	22:52:42	1
227	2014-01-07	1 сом	21:45:35	1
228	2014-01-07	1 сом	15:12:50	1
229	2014-01-07	1 сом	7:56:50	1
230	2014-01-07	1 сом	4:50:32	1
231	2014-01-07	1 сом	10:27:08	1
232	2014-01-07	1 сом	16:36:26	1
233	2014-01-07	1 сом	14:26:29	1
234	2014-01-07	1 сом	10:12:16	1
235	2014-01-07	1 сом	18:28:20	1
236	2014-01-07	1 сом	4:56:46	1
237	2014-01-07	1 сом	7:20:12	1
238	2014-01-07	1 сом	4:54:16	1
239	2014-01-07	1 сом	20:54:56	1
240	2014-01-07	1 сом	16:24:05	1
241	2014-01-07	1 сом	5:13:12	1
242	2014-01-07	1 сом	20:08:33	1
243	2014-01-07	1 сом	1:47:06	1
244	2014-01-07	1 сом	10:03:48	1
245	2014-01-07	1 сом	6:49:36	1
246	2014-01-07	1 сом	4:57:50	1
247	2014-01-07	1 сом	12:02:21	1
248	2014-01-07	1 сом	1:40:10	1
249	2014-01-07	1 сом	21:22:22	1
250	2014-01-07	1 сом	1:34:48	1
251	2014-01-07	1 сом	22:34:10	1
252	2014-01-07	1 сом	12:17:38	1
253	2014-01-07	1 сом	21:55:49	1
254	2014-01-07	1 сом	16:01:01	1
255	2014-01-07	1 сом	21:08:46	1
256	2014-01-07	1 сом	8:08:02	1
257	2014-01-07	1 сом	18:42:53	1
258	2014-01-07	1 сом	20:35:26	1
259	2014-01-07	1 сом	19:09:19	1
260	2014-01-07	1 сом	8:11:56	1
261	2014-01-07	1 сом	22:39:57	1
262	2014-01-07	1 сом	21:57:14	1
263	2014-01-07	1 сом	6:02:30	1
264	2014-01-07	1 сом	9:28:34	1
265	2014-01-07	1 сом	22:58:47	1
266	2014-01-07	1 сом	6:53:11	1
267	2014-01-07	1 сом	16:06:34	1
268	2014-01-07	1 сом	11:30:50	1
269	2014-01-07	1 сом	18:14:30	1
270	2014-01-07	1 сом	4:56:24	1
271	2014-01-07	1 сом	23:43:20	1
272	2014-01-07	1 сом	18:56:15	1
273	2014-01-07	1 сом	11:53:41	1
274	2014-01-07	1 сом	19:50:00	1
275	2014-01-07	1 сом	0:38:04	1
276	2014-01-07	1 сом	7:42:48	1
277	2014-01-07	1 сом	12:58:46	1
278	2014-01-07	1 сом	4:34:09	1
279	2014-01-07	1 сом	14:32:41	1
280	2014-01-07	1 сом	7:35:32	1
281	2014-01-07	1 сом	3:31:40	1
282	2014-01-07	1 сом	21:47:17	1
283	2014-01-07	1 сом	5:18:20	1
284	2014-01-07	1 сом	14:26:05	1
285	2014-01-07	1 сом	17:32:06	1
286	2014-01-07	1 сом	10:21:09	1
287	2014-01-07	1 сом	8:59:47	1
288	2014-01-07	1 сом	0:44:46	1
289	2014-01-07	1 сом	15:43:01	1
290	2014-01-07	1 сом	11:08:54	1
291	2014-01-07	1 сом	13:42:06	1
292	2014-01-07	1 сом	3:45:10	1
293	2014-01-07	1 сом	2:21:09	1
294	2014-01-07	1 сом	13:32:28	1
295	2014-01-07	1 сом	10:53:38	1
296	2014-01-07	1 сом	4:35:05	1
297	2014-01-07	1 сом	21:21:27	1
298	2014-01-07	1 сом	3:44:24	1
299	2014-01-07	1 сом	20:57:08	1
300	2014-01-07	1 сом	8:57:57	1
301	2014-01-07	1 сом	10:08:39	1
302	2014-01-07	1 сом	4:57:38	1
303	2014-01-07	1 сом	3:20:50	1
304	2014-01-07	1 сом	3:18:30	1
305	2014-01-07	1 сом	9:52:43	1
306	2014-01-07	1 сом	8:55:43	1
307	2014-01-07	1 сом	0:55:49	1
308	2014-01-07	1 сом	10:35:40	1
309	2014-01-07	1 сом	19:40:27	1
310	2014-01-07	1 сом	22:20:49	1
311	2014-01-07	1 сом	9:22:32	1
312	2014-01-07	1 сом	9:43:32	1
313	2014-01-07	1 сом	13:52:13	1
314	2014-01-07	1 сом	16:35:19	1
315	2014-01-07	1 сом	22:11:03	1
316	2014-01-07	1 сом	13:53:21	1
317	2014-01-07	1 сом	14:56:28	1
318	2014-01-07	1 сом	2:32:01	1
319	2014-01-07	1 сом	0:55:02	1
320	2014-01-07	1 сом	19:57:16	1
321	2014-01-07	1 сом	8:10:01	1
322	2014-01-07	1 сом	17:29:08	1
323	2014-01-07	1 сом	10:24:28	1
324	2014-01-07	1 сом	19:57:56	1
325	2014-01-07	1 сом	4:26:00	1
326	2014-01-07	1 сом	13:15:11	1
327	2014-01-07	1 сом	22:32:34	1
328	2014-01-07	1 сом	21:19:48	1
329	2014-01-07	1 сом	3:41:31	1
330	2014-01-07	1 сом	16:21:07	1
331	2014-01-07	1 сом	6:21:31	1
332	2014-01-07	1 сом	11:38:57	1
333	2014-01-07	1 сом	22:14:48	1
334	2014-01-07	1 сом	22:07:47	1
335	2014-01-07	1 сом	19:19:11	1
336	2014-01-07	1 сом	11:14:27	1
337	2014-01-07	1 сом	21:10:48	1
338	2014-01-07	1 сом	17:34:00	1
339	2014-01-07	1 сом	7:46:29	1
340	2014-01-07	1 сом	18:59:44	1
341	2014-01-07	1 сом	5:39:50	1
342	2014-01-07	1 сом	0:24:09	1
343	2014-01-07	1 сом	10:30:06	1
344	2014-01-07	1 сом	10:35:13	1
345	2014-01-07	1 сом	10:44:24	1
346	2014-01-07	1 сом	21:47:17	1
347	2014-01-07	1 сом	0:07:16	1
348	2014-01-07	1 сом	1:48:17	1
349	2014-01-07	1 сом	10:56:59	1
350	2014-01-07	1 сом	17:35:18	1
351	2014-01-07	1 сом	20:58:23	1
352	2014-01-07	1 сом	17:24:39	1
353	2014-01-07	1 сом	19:27:36	1
354	2014-01-07	1 сом	16:29:29	1
355	2014-01-07	1 сом	14:26:26	1
356	2014-01-07	1 сом	11:08:57	1
357	2014-01-07	1 сом	8:20:52	1
358	2014-01-07	1 сом	20:10:37	1
359	2014-01-07	1 сом	12:49:17	1
360	2014-01-07	1 сом	20:25:48	1
361	2014-01-07	1 сом	2:31:41	1
362	2014-01-07	1 сом	22:38:48	1
363	2014-01-07	1 сом	4:39:51	1
364	2014-01-07	1 сом	13:34:04	1
365	2013-12-25	1 сом	7:24:26	1
366	2013-12-25	1 сом	11:04:04	1
367	2013-12-25	1 сом	18:01:54	1
368	2013-12-25	1 сом	6:42:13	1
369	2013-12-25	1 сом	6:43:57	1
370	2013-12-25	1 сом	0:50:02	1
371	2013-12-25	1 сом	6:33:22	1
372	2013-12-25	1 сом	2:50:39	1
373	2013-12-25	1 сом	6:36:08	1
374	2013-12-25	1 сом	6:16:29	1
375	2013-12-25	1 сом	0:04:53	1
376	2013-12-25	1 сом	23:30:55	1
377	2013-12-25	1 сом	20:16:24	1
378	2013-12-25	1 сом	23:47:43	1
379	2013-12-25	1 сом	17:11:03	1
380	2013-12-25	1 сом	17:46:50	1
381	2013-12-25	1 сом	16:51:14	1
382	2013-12-25	1 сом	7:28:39	1
383	2013-12-25	1 сом	14:02:35	1
384	2013-12-25	1 сом	7:41:08	1
385	2013-12-25	1 сом	17:28:06	1
386	2013-12-25	1 сом	17:58:30	1
387	2013-12-25	1 сом	21:34:09	1
388	2013-12-25	1 сом	12:27:13	1
389	2013-12-25	1 сом	10:11:21	1
390	2013-12-25	1 сом	22:35:00	1
391	2013-12-25	1 сом	0:44:13	1
392	2013-12-25	1 сом	14:53:02	1
393	2013-12-25	1 сом	22:50:10	1
394	2013-12-25	1 сом	20:45:17	1
395	2013-12-25	1 сом	5:32:44	1
396	2013-12-25	1 сом	18:15:41	1
397	2013-12-25	1 сом	7:01:56	1
398	2013-12-25	1 сом	7:52:29	1
399	2013-12-25	1 сом	17:49:32	1
400	2013-12-25	1 сом	1:07:30	1
401	2013-12-25	1 сом	0:33:09	1
402	2013-12-25	1 сом	16:24:11	1
403	2013-12-25	1 сом	14:59:36	1
404	2013-12-25	1 сом	15:03:36	1
405	2013-12-25	1 сом	14:18:45	1
406	2013-12-25	1 сом	4:55:42	1
407	2013-12-25	1 сом	18:35:22	1
408	2013-12-25	1 сом	0:07:21	1
409	2013-12-25	1 сом	14:53:30	1
410	2013-12-25	1 сом	21:29:02	1
411	2013-12-25	1 сом	9:19:15	1
412	2013-12-25	1 сом	21:32:04	1
413	2013-12-25	1 сом	1:20:59	1
414	2013-12-25	1 сом	5:47:48	1
415	2013-12-25	1 сом	11:45:05	1
416	2013-12-25	1 сом	18:35:25	1
417	2013-12-25	1 сом	23:57:13	1
418	2013-12-25	1 сом	20:53:40	1
419	2013-12-25	1 сом	20:11:46	1
420	2013-12-25	1 сом	11:30:06	1
421	2013-12-25	1 сом	5:48:58	1
422	2013-12-25	1 сом	21:47:10	1
423	2013-12-25	1 сом	21:38:22	1
424	2013-12-25	1 сом	0:16:36	1
425	2013-12-25	1 сом	8:42:42	1
426	2013-12-25	1 сом	6:39:17	1
427	2013-12-25	1 сом	6:18:06	1
428	2013-12-25	1 сом	1:28:16	1
429	2013-12-25	1 сом	8:10:45	1
430	2013-12-25	1 сом	21:17:48	1
431	2013-12-25	1 сом	1:13:15	1
432	2013-12-25	1 сом	12:30:36	1
433	2013-12-25	1 сом	0:18:44	1
434	2013-12-25	1 сом	9:18:55	1
435	2013-12-25	1 сом	4:48:41	1
436	2013-12-25	1 сом	2:25:30	1
437	2013-12-25	1 сом	15:12:25	1
438	2013-12-25	1 сом	2:43:32	1
439	2013-12-25	1 сом	3:25:06	1
440	2013-12-25	1 сом	16:56:28	1
441	2013-12-25	1 сом	15:37:35	1
442	2013-12-25	1 сом	6:52:24	1
443	2013-12-25	1 сом	5:37:22	1
444	2013-12-25	1 сом	18:59:18	1
445	2013-12-25	1 сом	0:28:44	1
446	2013-12-25	1 сом	2:46:51	1
447	2013-12-25	1 сом	23:31:03	1
448	2013-12-25	1 сом	23:41:29	1
449	2013-12-25	1 сом	7:53:53	1
450	2013-12-25	1 сом	0:12:27	1
451	2013-12-25	1 сом	11:02:03	1
452	2013-12-25	1 сом	6:22:39	1
453	2013-12-25	1 сом	19:01:23	1
454	2013-12-25	1 сом	21:06:20	1
455	2013-12-25	1 сом	19:10:42	1
456	2013-12-25	1 сом	4:06:42	1
457	2013-12-25	1 сом	4:32:22	1
458	2013-12-25	1 сом	22:16:25	1
459	2013-12-25	1 сом	14:00:00	1
460	2013-12-25	1 сом	0:14:59	1
461	2013-12-25	1 сом	0:39:54	1
462	2013-12-25	1 сом	17:02:19	1
463	2013-12-25	1 сом	16:48:31	1
464	2013-12-25	1 сом	7:52:12	1
465	2013-12-25	1 сом	20:15:21	1
466	2013-12-25	1 сом	7:26:47	1
467	2013-12-25	1 сом	15:18:54	1
468	2013-12-25	1 сом	18:33:49	1
469	2013-12-25	1 сом	17:23:10	1
470	2013-12-25	1 сом	6:43:09	1
471	2013-12-25	1 сом	11:27:48	1
472	2013-12-25	1 сом	9:42:04	1
473	2013-12-25	1 сом	11:01:40	1
474	2013-12-25	1 сом	0:24:21	1
475	2013-12-25	1 сом	17:41:49	1
476	2013-12-25	1 сом	23:43:03	1
477	2013-12-25	1 сом	13:30:31	1
478	2013-12-25	1 сом	15:51:48	1
479	2013-12-25	1 сом	17:48:28	1
480	2013-12-25	1 сом	10:16:50	1
481	2013-12-25	1 сом	8:35:32	1
482	2013-12-25	1 сом	22:16:36	1
483	2013-12-25	1 сом	16:48:59	1
484	2013-12-25	1 сом	19:58:48	1
485	2013-12-25	1 сом	2:54:13	1
486	2013-12-25	1 сом	6:30:02	1
487	2013-12-25	1 сом	9:06:05	1
488	2013-12-25	1 сом	19:17:31	1
489	2013-12-25	1 сом	9:55:45	1
490	2013-12-25	1 сом	22:31:49	1
491	2013-12-25	1 сом	3:58:07	1
492	2013-12-25	1 сом	15:41:03	1
493	2013-12-25	1 сом	10:53:17	1
494	2013-12-25	1 сом	10:05:09	1
495	2013-12-25	1 сом	20:46:32	1
496	2013-12-25	1 сом	10:50:34	1
497	2013-12-25	1 сом	4:16:07	1
498	2013-12-25	1 сом	3:26:35	1
499	2013-12-25	1 сом	16:15:10	1
500	2013-12-25	1 сом	12:13:51	1
501	2013-12-25	1 сом	4:53:01	1
502	2013-12-25	1 сом	21:13:51	1
503	2013-12-25	1 сом	20:10:36	1
504	2013-12-25	1 сом	9:09:36	1
505	2013-12-25	1 сом	17:18:43	1
506	2013-12-25	1 сом	6:25:01	1
507	2013-12-25	1 сом	5:38:22	1
508	2013-12-25	1 сом	6:50:23	1
509	2013-12-25	1 сом	10:41:54	1
510	2013-12-25	1 сом	12:42:47	1
511	2013-12-25	1 сом	0:02:19	1
512	2013-12-25	1 сом	12:33:33	1
513	2013-12-25	1 сом	2:04:56	1
514	2013-12-25	1 сом	11:43:30	1
515	2013-12-25	1 сом	16:31:33	1
516	2013-12-25	1 сом	16:35:53	1
517	2013-12-25	1 сом	12:13:51	1
518	2013-12-25	1 сом	1:45:22	1
519	2013-12-25	1 сом	22:53:04	1
520	2013-12-25	1 сом	18:04:37	1
521	2013-12-25	1 сом	22:47:57	1
522	2013-12-25	1 сом	21:53:07	1
523	2013-12-25	1 сом	17:06:29	1
524	2013-12-25	1 сом	6:28:17	1
525	2013-12-25	1 сом	20:09:17	1
526	2013-12-25	1 сом	5:02:00	1
527	2013-12-25	1 сом	15:50:07	1
528	2013-12-25	1 сом	18:45:11	1
529	2013-12-25	1 сом	14:59:24	1
530	2013-12-25	1 сом	14:30:49	1
531	2013-12-25	1 сом	15:50:34	1
532	2013-12-25	1 сом	23:54:50	1
533	2013-12-25	1 сом	22:12:06	1
534	2013-12-25	1 сом	21:46:48	1
535	2013-12-25	1 сом	7:13:43	1
536	2013-12-25	1 сом	0:00:06	1
537	2013-12-25	1 сом	12:21:28	1
538	2013-12-25	1 сом	16:12:47	1
539	2013-12-25	1 сом	23:07:32	1
540	2013-12-25	1 сом	10:59:02	1
541	2013-12-25	1 сом	7:35:54	1
542	2013-12-25	1 сом	4:50:22	1
543	2013-12-25	1 сом	6:55:19	1
544	2013-12-25	1 сом	4:44:51	1
545	2013-12-25	1 сом	15:09:32	1
546	2013-12-25	1 сом	10:41:27	1
547	2013-12-26	1 сом	9:05:53	1
548	2013-12-26	1 сом	9:39:47	1
549	2013-12-26	1 сом	2:55:02	1
550	2013-12-26	1 сом	12:03:49	1
551	2013-12-26	1 сом	23:51:34	1
552	2013-12-26	1 сом	4:22:33	1
553	2013-12-26	1 сом	0:25:27	1
554	2013-12-26	1 сом	22:42:27	1
555	2013-12-26	1 сом	9:16:02	1
556	2013-12-26	1 сом	7:20:06	1
557	2013-12-26	1 сом	15:30:02	1
558	2013-12-26	1 сом	8:41:50	1
559	2013-12-26	1 сом	5:01:50	1
560	2013-12-26	1 сом	17:21:30	1
561	2013-12-26	1 сом	1:49:05	1
562	2013-12-26	1 сом	22:41:06	1
563	2013-12-26	1 сом	18:06:28	1
564	2013-12-26	1 сом	20:54:00	1
565	2013-12-26	1 сом	10:30:08	1
566	2013-12-26	1 сом	6:14:27	1
567	2013-12-26	1 сом	3:43:18	1
568	2013-12-26	1 сом	12:13:38	1
569	2013-12-26	1 сом	5:02:11	1
570	2013-12-26	1 сом	16:48:25	1
571	2013-12-26	1 сом	1:42:51	1
572	2013-12-26	1 сом	17:51:38	1
573	2013-12-26	1 сом	6:57:16	1
574	2013-12-26	1 сом	16:26:48	1
575	2013-12-26	1 сом	1:46:35	1
576	2013-12-26	1 сом	21:54:06	1
577	2013-12-26	1 сом	4:38:32	1
578	2013-12-26	1 сом	15:32:38	1
579	2013-12-26	1 сом	0:28:30	1
580	2013-12-26	1 сом	14:07:45	1
581	2013-12-26	1 сом	7:33:49	1
582	2013-12-26	1 сом	16:31:42	1
583	2013-12-26	1 сом	9:31:31	1
584	2013-12-26	1 сом	5:54:17	1
585	2013-12-26	1 сом	11:14:35	1
586	2013-12-26	1 сом	20:50:50	1
587	2013-12-26	1 сом	16:58:45	1
588	2013-12-26	1 сом	16:54:26	1
589	2013-12-26	1 сом	22:36:48	1
590	2013-12-26	1 сом	14:19:57	1
591	2013-12-26	1 сом	2:08:06	1
592	2013-12-26	1 сом	17:08:21	1
593	2013-12-26	1 сом	17:52:25	1
594	2013-12-26	1 сом	15:23:34	1
595	2013-12-26	1 сом	5:25:00	1
596	2013-12-26	1 сом	6:07:55	1
597	2013-12-26	1 сом	10:23:13	1
598	2013-12-26	1 сом	17:15:08	1
599	2013-12-26	1 сом	5:58:36	1
600	2013-12-26	1 сом	22:08:13	1
601	2013-12-26	1 сом	5:21:44	1
602	2013-12-26	1 сом	3:00:49	1
603	2013-12-26	1 сом	1:16:21	1
604	2013-12-26	1 сом	7:02:14	1
605	2013-12-26	1 сом	7:30:49	1
606	2013-12-26	1 сом	14:06:37	1
607	2013-12-26	1 сом	15:01:45	1
608	2013-12-26	1 сом	12:18:40	1
609	2013-12-26	1 сом	22:08:39	1
610	2013-12-26	1 сом	1:12:11	1
611	2013-12-26	1 сом	15:10:00	1
612	2013-12-26	1 сом	16:51:39	1
613	2013-12-26	1 сом	21:39:09	1
614	2013-12-26	1 сом	9:52:00	1
615	2013-12-26	1 сом	6:59:37	1
616	2013-12-26	1 сом	8:40:53	1
617	2013-12-26	1 сом	2:43:54	1
618	2013-12-26	1 сом	20:58:16	1
619	2013-12-26	1 сом	4:34:50	1
620	2013-12-26	1 сом	20:49:10	1
621	2013-12-26	1 сом	8:53:40	1
622	2013-12-26	1 сом	3:35:00	1
623	2013-12-26	1 сом	6:26:50	1
624	2013-12-26	1 сом	1:43:22	1
625	2013-12-26	1 сом	23:54:22	1
626	2013-12-26	1 сом	18:21:48	1
627	2013-12-26	1 сом	23:00:39	1
628	2013-12-26	1 сом	16:15:23	1
629	2013-12-26	1 сом	8:38:58	1
630	2013-12-26	1 сом	13:52:18	1
631	2013-12-26	1 сом	11:02:18	1
632	2013-12-26	1 сом	23:56:06	1
633	2013-12-26	1 сом	9:50:30	1
634	2013-12-26	1 сом	10:51:48	1
635	2013-12-26	1 сом	13:14:16	1
